name,album,artist,release_date,length,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,answer
Low Key,MIST,RUNG HYANG,2020/9/30,217000,1,0.709,0.654,0.318,0.000196,0.101,-10.69,0.0363,119.888,4,0.362,evening
Alright - mabanua Remix,Alright (mabanua Remix),Kenta Dedachi,2020/7/15,218973,1,0.733,0.328,0.647,0.0000298,0.234,-5.543,0.245,93.822,4,0.795,evening
Every One Minute,Every One Minute,MONONKVL,2020/10/7,210276,1,0.757,0.255,0.614,0,0.052,-6.092,0.115,106.022,4,0.639,evening
ENTERTAINER,ENTERTAINER,I Don't Like Mondays.,2020/10/28,191867,0,0.719,0.0522,0.705,0,0.0559,-5.375,0.0503,102.983,4,0.919,evening
Honey Flavor,SIGNAL,SPiCYSOL,2017/5/10,235160,0,0.701,0.316,0.604,0.0000306,0.0936,-7.618,0.0282,106.014,4,0.856,evening
Saturday(20th Anniversary Vintage),all time classics,paris match,2019/12/11,320826,1,0.697,0.515,0.795,0.0000281,0.0695,-5.289,0.076,115.032,4,0.818,evening
銀のセダンと時間の鍵盤,all time classics,paris match,2019/12/11,320306,1,0.754,0.624,0.732,0.000659,0.0796,-7.453,0.0315,98.039,4,0.897,evening
Pop Virus,POP VIRUS,Gen Hoshino,2018/12/19,182000,1,0.629,0.0339,0.441,0,0.234,-4.614,0.126,78.177,4,0.782,evening
Kataomoi,daydream,Aimer,42634,207360,1,0.621,0.78,0.533,0,0.333,-5.974,0.0342,96.981,4,0.791,morning
君の恋人になったら,ハッピーエンド,back number,42690,244066,1,0.417,0.00166,0.886,0,0.125,-2.06,0.0655,140.075,4,0.393,morning
"10,000 Hours (with Justin Bieber)","10,000 Hours (with Justin Bieber)",Dan + Shay,43742,167693,1,0.654,0.153,0.63,0,0.111,-4.644,0.0259,89.991,4,0.43,morning
Don't Wanna Know,The Way I Used to Love You,I Don't Wanna Know,42833,206009,0,0.688,0.617,0.718,0.0000159,0.116,-5.986,0.0527,134.151,5,0.538,morning
Shape of You,÷ (Deluxe),Ed Sheeran,42797,233712,0,0.825,0.581,0.652,0,0.0931,-3.183,0.0802,95.977,4,0.931,morning
2002,Speak Your Mind (Deluxe),Anne-Marie,43217,186986,0,0.697,0.0372,0.683,0,0.137,-2.881,0.117,96.133,4,0.603,morning
Stand Out Fit In,Eye of the Storm,ONE OK ROCK,43509,214546,1,0.625,0.0291,0.839,0,0.141,-5.255,0.0386,126.023,4,0.34,morning
Love Yourself,Mega Hits 2021,Various Artists,44225,232626,1,0.759,0.86,0.401,0,0.299,-8.999,0.259,100.126,4,0.576,morning
Life Goes On,BE,BTS,44155,207481,1,0.566,0.00691,0.716,0,0.37,-5.733,0.0424,81.068,4,0.45,morning
いいんですか?,RADWIMPSのはじまりはじまりのまとめ,RADWIMPS,42515,248186,1,0.477,0.00386,0.845,0,0.0836,-3.975,0.0435,174.865,4,0.882,morning
Chika,Heard that there's good pasta,Aimyon,44083,187333,1,0.689,0.0577,0.877,0.00000951,0.247,-3.978,0.0415,97.026,4,0.856,morning
Because of you,FLY,Shota Shimizu,42914,195506,1,0.647,0.615,0.4,0,0.351,-7.997,0.0422,95.923,4,0.596,morning
いつか,カントリーロード,Saucy Dog,42879,274871,1,0.603,0.0941,0.509,0,0.201,-4.535,0.0263,79.989,4,0.445,morning
ME! (feat. Brendon Urie of Panic! At The Disco),Lover,Taylor Swift,43700,193000,1,0.61,0.033,0.83,0,0.118,-4.105,0.0571,182.162,4,0.728,morning
If I Can't Have You,If I Can't Have You,Shawn Mendes,43588,190800,1,0.692,0.524,0.809,0,0.147,-4.198,0.0602,123.911,4,0.864,morning
At My Worst,The Prelude,Pink Sweat$,44029,170344,1,0.813,0.777,0.415,0,0.131,-5.926,0.0349,91.921,4,0.667,morning
Blueming,Love poem,IU,43787,217053,1,0.819,0.0849,0.674,0,0.0667,-3.145,0.0587,106.032,4,0.682,morning
Everytime,Descendants Of The Sun Pt.2 (Original Television Soundtrack),CHEN,42425,189355,1,0.514,0.483,0.736,0,0.18,-4.364,0.0321,90.002,4,0.495,morning
ハルカ,THE BOOK,YOASOBI,44202,243613,1,0.712,0.0717,0.817,0.00000721,0.146,-5.123,0.0279,100.016,4,0.679,morning
何なんw,HELP EVER HURT NEVER,Fujii Kaze,43971,320640,1,0.633,0.394,0.729,0.000164,0.144,-7.113,0.13,89.851,4,0.69,morning
Coffee,"O!RUL8,2?",BTS,41528,261453,1,0.652,0.00808,0.794,0,0.298,-6.604,0.0957,92.045,4,0.545,morning
Like,2 COOL 4 SKOOL,BTS,41437,231893,0,0.738,0.3,0.729,0,0.257,-4.173,0.071,100.95,4,0.764,morning
ONE IN A MILLION,TWICEcoaster : LANE2,TWICE,42787,175256,1,0.599,0.146,0.732,0,0.204,-2.468,0.0324,89.87,4,0.424,morning
花占い,花占い,Vaundy,44382,207555,0,0.662,0.0141,0.789,0,0.317,-7.634,0.0305,135.01,4,0.881,morning
As Always,3rd Album [Soundz],Ra.D,41844,198424,1,0.659,0.14,0.659,0,0.286,-6.623,0.0493,101.917,4,0.303,morning
Hold On,Justice,Justin Bieber,44274,170813,0,0.658,0.0104,0.634,0,0.12,-6.068,0.0431,140.002,4,0.302,morning
smile again,everything means nothing,blackbear,44064,149253,1,0.68,0.597,0.423,0,0.371,-6.279,0.0321,85.042,4,0.686,morning
Mama,WINGS,BTS,42653,212253,0,0.544,0.000222,0.744,0.0000166,0.0796,-4.795,0.219,185.996,4,0.437,morning
Good day,REAL,IU,40521,233586,1,0.637,0.165,0.882,0,0.0981,-3.034,0.0654,128.027,4,0.552,morning
ラベンダー,ラベンダー / ガールフレンド,the shes gone,44342,310066,1,0.602,0.0854,0.557,0,0.247,-4.872,0.0256,86.011,4,0.582,morning
花人局,盗作,ヨルシカ,44041,332373,1,0.73,0.259,0.754,0.000324,0.239,-4.925,0.0296,124.995,4,0.705,morning
One of a Kind,To Belonging,Sam Ock,44008,219702,1,0.892,0.571,0.393,0,0.132,-5.633,0.196,88.986,4,0.825,morning
Loveable,A Love So Beautiful OST Part.2,SinB,44214,251973,1,0.689,0.679,0.676,0,0.117,-4.11,0.0544,95.116,4,0.341,morning
世界の秘密,世界の秘密,Vaundy,44192,221250,0,0.683,0.142,0.53,0,0.0978,-6.749,0.0614,159.969,4,0.823,morning
シャワーとコンセント,どうしたって伝えられないから,aiko,44258,313173,0,0.502,0.00685,0.862,0.00274,0.169,-4.966,0.0726,161.898,4,0.564,morning
Stay With Me,"Guardian (Original Television Soundtrack), Pt. 1",CHANYEOL,42707,192441,0,0.558,0.431,0.526,0,0.126,-4.686,0.033,124.709,4,0.202,morning
